FID,osm_id,code,fclass,name
8433,7128109078,2005,post_office, 
8434,7128180886,2301,restaurant,Asanka Avenue
8435,7128879152,2111,clinic,Amamorley community town
8436,7128935019,2082,school,Amamorley community town
8437,7129010667,2301,restaurant,Amamorley community Town
8438,7129396911,2082,school,Royal Priesthood Academy
8439,7133172032,2520,jeweller,Milano Jewelry
8440,7133850341,2401,hotel,Saarland View Hotel
8441,7135306485,2082,school,Queens Court School
8442,7135306486,2305,bar, 
8443,7137015885,2401,hotel,Tadoma Hotel
8444,7137343434,2561,hairdresser,Razor Cut
8445,7138610538,2301,restaurant,Dimaensa
8446,7138611801,2568,laundry,The Laundry
8447,7138618415,2541,car_dealership,Ultimate Car Port
8448,7138625647,2561,hairdresser,Dr. Tinto Haircut
8449,7138636455,2503,kiosk, 
8450,7138645906,2564,car_wash, 
8451,7138679055,2302,fast_food,Hanukaza
8452,7138857189,2503,kiosk, 
8454,7139929085,2305,bar,Oasis Bar and Grill
8455,7139937127,2305,bar,Prime Bar & Lounge
8456,7140706354,2101,pharmacy,Bimex
8457,7141742410,2601,bank,CBG
8458,7141942356,2561,hairdresser,Gold in Diamond
8459,7142331130,2401,hotel,Hotel Joecarl
8460,7142877776,2101,pharmacy, 
8461,7142921288,2101,pharmacy,Pillpoint Pharmacy
8462,7142925948,2304,pub,Green Forest
8463,7142961264,2564,car_wash, 
8464,7143432241,2401,hotel,Hotel de Lexie
8465,7143455351,2304,pub,Virgin City
8466,7143608428,2305,bar,Abrantie Spot
8467,7147443580,2501,supermarket,Samsung shop
8468,7147467166,2301,restaurant,bervels
8469,7147491390,2961,wastewater_plant,generator
8470,7147491430,2961,wastewater_plant,Alexander Kwapong Hall
8471,7147521853,2904,fountain,HIlla Limann
8472,7148587444,2525,mobile_phone_shop,Skycom Phones
8473,7151335485,2301,restaurant,Tatale Vegan Restaurant
8474,7151828423,2101,pharmacy,Grit Pharmacy
8475,7151861587,2301,restaurant,Bamboo Fufu Joint
8476,7151868818,2016,market_place,Bamboo Market
8477,7153258792,2568,laundry,Immaculate Laundry
8479,7154060541,2101,pharmacy,Norkids
8480,7154060546,2901,toilet, 
8481,7154068086,2721,attraction,James Town Pier
8482,7154575590,2601,bank,GCB Bank
8483,7156350602,2601,bank,FBN Bank
8484,7156350603,2304,pub,Bayview Village
8485,7157290005,2001,police,Achimota - Petroleum Police Post
8486,7157313031,2304,pub, 
8487,7158168059,2404,guesthouse,Alligator Guest House & Spot
8488,7158196863,2564,car_wash,Total Wash
8489,7158356786,2602,atm, 
8490,7160823054,2082,school,Abundant Blessing Preparatory School
8491,7160871544,2304,pub, 
8492,7160880788,2302,fast_food,Classic Browni's Kitchen
8493,7160902212,2561,hairdresser, 
8494,7160913250,2561,hairdresser,Expert
8495,7160926474,2302,fast_food,Eddys Pizza
8496,7160935800,2302,fast_food,Wich Burger
8497,7162025739,2512,clothes,J&D Textiles
8498,7162091300,2082,school,2nd Image Academy
8499,7162116722,2101,pharmacy,Kelmed Pharmaceuticals
8500,7164540202,2601,bank,GCB Bank
8502,7164574198,2601,bank,CBG
8503,7164577877,2601,bank,UBA
8504,7164707743,2601,bank,Ecobank
8505,7165115096,2301,restaurant,Bamboo Pizza
8506,7165178716,2304,pub,Gabby Sterlin's Pub
8507,7165784085,2564,car_wash, 
8508,7167386131,2602,atm,GT Bank
8509,7167386132,2602,atm, 
8510,7168884109,2082,school,Noble Way International School
8511,7168911070,2302,fast_food,Odo Kitchen
8512,7168958727,2568,laundry,Delight Home
8513,7168959221,2602,atm,CBG
8514,7168961009,2602,atm,GCB Bank
8515,7169040218,2520,jeweller,Nora Garments Showroom
8516,7169127564,2953,observation_tower, 
8517,7169373061,2564,car_wash, 
8518,7169590985,2520,jeweller,Beats and Fabrics Dees Colours
8519,7169591085,2501,supermarket,farmers market
8520,7169804955,2304,pub,Just Here Pub
8521,7170251487,2101,pharmacy,Pharma George
8522,7170262932,2401,hotel,Vitara Hotel
8523,7170575985,2005,post_office, 
8524,7171315019,2564,car_wash, 
8525,7171452915,2030,recycling,SESA Collection Point - Beulah Methodist Church
8532,7171471584,2030,recycling,SESA Collection Point
8533,7180644645,2082,school, 
8534,7182261015,2101,pharmacy,Benalice
8535,7184096307,2602,atm,GCB
8536,7186914871,2083,kindergarten,Los Angeles School
8537,7187283157,2082,school,Faith Royal Academy
8538,7187299605,2564,car_wash, 
8539,7187301603,2101,pharmacy,Zoe Pharmacy
8540,7187310367,2111,clinic,Mini Clinic
8541,7188543083,2501,supermarket,Cooland Supermarket
8542,7191643886,2082,school,Glowing Angel Montessori
8543,7191653685,2511,convenience, 
8544,7192763859,2518,beverages,Bloom Liquour
8545,7192781843,2517,shoe_shop,Sneaker Republic
8546,7192929007,2082,school,Kesho Academy
8547,7192929008,2082,school,Bright Beginning Academy
8548,7192931765,2082,school,Anbell School
8549,7192944114,2082,school,Blessed Amys Garden International School
8550,7192947713,2082,school,Asare Memorial International School
8551,7192954369,2082,school,Ibun Kathir Islamic School
8552,7192971185,2082,school,Pank Senior High School
8553,7193039835,2512,clothes,Afrik Touch
8554,7193115250,2401,hotel,Big Up Hotel
8555,7193115265,2082,school,Green Pastures School
8556,7193115266,2082,school, 
8557,7193211854,2101,pharmacy,Wellmark Pharmacy
8558,7193220303,2121,dentist,New Vision Dental Clinic Annex
8559,7194973888,2514,chemist,W. K. Appiah
8560,7194985682,2302,fast_food,Uncle Sam Fast Food
8561,7195185915,2084,college,Wisconsin international university block B
8562,7195224687,2511,convenience, 
8563,7195243885,2301,restaurant, 
8564,7195706985,2305,bar,bar
8565,7196146586,2721,attraction,church
8566,7196185227,2301,restaurant,Marwako
8567,7197341615,2564,car_wash, 
8568,7197414630,2304,pub,Daakye Hemaa Pub
8569,7197414631,2304,pub,Obaa Sima Freeky Joint
8570,7197940130,2301,restaurant,Cherleyan’s Restaurant
8571,7198087026,2305,bar,Vantage point
8572,7198661876,2101,pharmacy,Sir Swanzy Chemicals
8573,7198671369,2401,hotel,Osadani Hotel
8574,7198689151,2101,pharmacy,Chrismark
8576,7198777290,2304,pub,Abrewa Nana
8577,7198858885,2401,hotel,Royal Kamak Hotel
8578,7203038430,2601,bank,GT Bank
8579,7203680185,2511,convenience,Convenience Store
8580,7204700917,2101,pharmacy,Love pharmacy
8581,7207518304,2001,police,DOVVSU Tesano Division
8582,7207976460,2101,pharmacy,Eden Royal
8583,7208526485,2082,school,Able School
8584,7208727186,2303,cafe,Vida e Caffe
8586,7209383695,2101,pharmacy,Hemins Pharmacy Limited
8587,7211375505,2304,pub,Stero
8590,7211660772,2101,pharmacy,Letap pharmacy
8591,7211686907,2601,bank,Bayport savings and loans
8592,7212303572,2561,hairdresser,New Look Barbershop
8593,7212306951,2302,fast_food,Ayisha 1.Com Special Food
8594,7213398035,2204,park,Recreational Ground
8595,7213764384,2082,school,Diocesan Ministerial Training School
8597,7213787583,2101,pharmacy,QuasiPharma
8598,7213799810,2008,town_hall,Osu Ebenezer Presbyterian Town Hall
8600,7215965920,2101,pharmacy,Sergen
8602,7218556808,2101,pharmacy,Benatash Pharmacy
8603,7220820385,2512,clothes,Nice fabrics
8605,7222099395,2304,pub, 
8606,7222513545,2101,pharmacy,Bridge View Pharmacy
8607,7222706680,2404,guesthouse,Fillys Guest House
8608,7223374341,2514,chemist, 
8609,7227048934,2529,beauty_shop,Shante's
8612,7233766389,2512,clothes, 
8613,7233768645,2514,chemist, 
8614,7234574921,2082,school,New Quality Creation Academy
8615,7234657206,2564,car_wash, 
8616,7234661505,2304,pub, 
8617,7236425685,2301,restaurant,Grab a Bite Restaurant & Catering
8619,7238982593,2304,pub, 
8620,7238982597,2101,pharmacy,Matcare Pharmacy
8621,7238982600,2511,convenience, 
8622,7238982601,2511,convenience, 
8623,7238982602,2512,clothes,Delight
8624,7238982603,2602,atm,UMB
8625,7238982607,2101,pharmacy, 
8626,7238982608,2101,pharmacy,Lena Pharmacy
8627,7242331687,2301,restaurant,Signal Canteen
8628,7245722662,2404,guesthouse,Ben-Rita Guest House
8629,7245820214,2302,fast_food,Eddys Pizza
8630,7245964594,2082,school,Love Montessori International School
8632,7249992771,2304,pub,Goza
8633,7249999345,2512,clothes,Jersey Hub
8634,7249999777,2304,pub,Home Choice
8635,7252679592,2082,school,Eve's Nursery School
8636,7252688372,2101,pharmacy,Family Care Pharmacy
8638,7253428084,2516,butcher,Freedom Cold Store
8639,7253605167,2304,pub,Xclusive Pub
8640,7253605168,2301,restaurant,Villandro Restaurant
8641,7255868902,2511,convenience,Bonjour Total 37 Military
8642,7259165894,2405,hostel,Agape villa hostel
8645,7262630112,2401,hotel,Maakis Guest house
8646,7263605339,2301,restaurant,Downtown Eats
8647,7263945917,2082,school,Ghana school of surveying and mapping
8648,7265163660,2082,school,Fruitful Vineyard Academy
8649,7266056585,2101,pharmacy,Camden
8650,7267245921,2568,laundry,First Class Laundry
8651,7267248249,2101,pharmacy,Raise chemist
8652,7267278570,2305,bar,Juliet Bar
8653,7267284362,2101,pharmacy,Swanlake Pharmacy
8654,7267284533,2601,bank,Prudential Bank
8655,7267287583,2101,pharmacy,Kinschem Pharmacy
8656,7267288795,2401,hotel,Blue Diamond Hotel
8657,7273637270,2601,bank,Fibelity Bank
8658,7273661658,2601,bank,Prudential Bank
8659,7273686218,2601,bank,UMB Bank
8660,7273687404,2546,computer_shop,PC Depot
8661,7273923606,2101,pharmacy, 
8663,7277167685,2401,hotel,Lincoln Hotel
8664,7282800803,2503,kiosk, 
8665,7282918490,2404,guesthouse,Asabea Guest house
8666,7282918527,2101,pharmacy,PalmAid Pharmacy
8667,7284715090,2561,hairdresser,Silver Hair Barber Shop
8668,7285068903,2301,restaurant,Nupet Cakes
8669,7285191668,2301,restaurant,Tessyanns Local Restaurant & Bar
8670,7291037471,2304,pub,Brakutu Pub
8671,7291112379,2304,pub,Demod
8672,7291113619,2304,pub,Old Soldier
8673,7292363735,2082,school,Heritage Academy
8674,7292558049,2601,bank,Absa
8675,7292617038,2304,pub,Area Kitchen & Pub
8677,7293055585,2101,pharmacy,Mcaliz Pharmacy
8678,7294177979,2561,hairdresser,Executive Haircut
8679,7294940649,2401,hotel, 
8680,7294942485,2401,hotel,Kene-Bi
8681,7295065516,2301,restaurant,Le Salon
8682,7296409694,2101,pharmacy,Baseline
8683,7299352317,2601,bank,GCB Bank
8684,7306760183,2001,police, 
8685,7306778542,2082,school,Janet Hammond School
8686,7306802598,2101,pharmacy, 
8687,7306806738,2304,pub,BB'z Bar
8688,7308441494,2110,hospital,Osu Maternity Home Hospital
8689,7308773952,2301,restaurant, 
8690,7311882892,2601,bank,Absa
8691,7312485183,2110,hospital,Neptune Medical Centre
8692,7315829924,2529,beauty_shop,Kay Barbering Saloon
8693,7315829926,2101,pharmacy,Pharmatrust Professional college
8694,7316574318,2101,pharmacy,PrijoPharma
8695,7316694263,2541,car_dealership,Degree Motors
8696,7319317716,2301,restaurant,Ayiwa House
8697,7319360234,2082,school,Vilac International School
8698,7319847028,2304,pub,Taste Grill and Bar
8699,7319932943,2304,pub,United Gardens
8700,7323044472,2601,bank,CBG
8701,7323053408,2601,bank,GT Bank
8702,7323975692,2082,school,Little Beas Cherubs
8703,7331952065,2101,pharmacy,RX Pharmacy
8704,7331974110,2101,pharmacy,Aide Pharmacy
8705,7332012111,2111,clinic,Isaac Opuni License Chemical
8706,7332075463,2101,pharmacy,Bright Kwasi Ameho
8707,7335399373,2302,fast_food,Chicken Inn
8708,7335450030,2601,bank,First National Bank
8709,7335460154,2601,bank,Fidelity Bank
8710,7335463318,2602,atm,Zenith Bank
8711,7335474710,2302,fast_food,Pizza Inn
8712,7335482236,2111,clinic,Life Health Care
8713,7335483416,2546,computer_shop,Compu Ghana
8714,7343083058,2564,car_wash, 
8715,7343092991,2304,pub,JB Locals
8716,7344358112,2304,pub,Bizimar
8717,7344680314,2512,clothes,Ara
8718,7344680315,2602,atm,First National Bank
8719,7344680317,2601,bank,Standard Chartered
8720,7344680320,2543,doityourself,MV Accessories
8721,7344680321,2525,mobile_phone_shop,Telefonika
8722,7344680323,2544,furniture_shop,AndySarp Furniture
8723,7344680324,2525,mobile_phone_shop,Infinix
8724,7344680325,2512,clothes,Kings Bazaar
8725,7344680327,2529,beauty_shop,First Choice Beauty
8726,7344680328,2520,jeweller,Bijou Jewelry
8727,7344680330,2602,atm,CBG
8728,7344680331,2503,kiosk,AHA Accessories
8729,7344680332,2503,kiosk,Icy Cup
8730,7344680333,2503,kiosk,Natural and Organic Products
8731,7344680334,2517,shoe_shop,Bata
8732,7344680335,2501,supermarket,Shoprite
8733,7344680337,2512,clothes,Easy Prime
8734,7344680338,2512,clothes,Nody's Collection
8735,7344680339,2203,cinema,7D Simulator Cinema
8736,7344680343,2561,hairdresser,Hair Saloon and Village
8737,7344680348,2901,toilet, 
8738,7344680349,2567,travel_agent,Rent Air
8739,7344680350,2512,clothes,Brand Essentials
8740,7344680351,2512,clothes,mrp
8741,7344680352,2901,toilet, 
8742,7344680355,2301,restaurant,The Chop Bar
8743,7344680356,2602,atm,Stanbic Bank
8744,7344680357,2602,atm,UBA
8745,7344680358,2601,bank,Stanbic Bank
8746,7344680359,2301,restaurant,Barcelos
8747,7344680361,2302,fast_food,Pizza Hut
8748,7344680362,2501,supermarket,Game
8749,7344680363,2302,fast_food,Nominom
8750,7344680364,2302,fast_food,Basilissa
8751,7344680365,2301,restaurant,Sweet Roses
8752,7344680366,2302,fast_food,KFC
8753,7348800676,2111,clinic,Givers Scientic Herbal Clinic
8754,7348800677,2002,fire_station,Ghana Fire Service
8755,7348800679,2101,pharmacy,Mutti Pharmacy
8756,7348800680,2101,pharmacy,Kingstreet Pharmacy
8757,7348800681,2304,pub, 
8758,7362205017,2401,hotel,Mexico Hotel
8759,7368547727,2564,car_wash, 
8760,7371836946,2951,comms_tower, 
8761,7398764810,2401,hotel,Red Cube Hotel
8762,7406322658,2511,convenience,Frimps Mart
8763,7422225045,2082,school,Ar-Yee Montessori
8764,7439191623,2111,clinic,Agbogba Community Clinic
8765,7441173154,2101,pharmacy,Obitu A. Adam OTC
8767,7441397234,2101,pharmacy,Good Start Pharmacy Limited
8768,7467422576,2546,computer_shop,Climate Technologies
8769,7467587487,2304,pub,Iceburg
8770,7468686270,2005,post_office,Achimota Market Post Office
8771,7471932854,2101,pharmacy,Tofeefy Pharmacy
8772,7471960631,2001,police,Ghana Police Dome Post
8773,7471974189,2302,fast_food,Papa's Pizza
8774,7471974190,2101,pharmacy,Crystal
8775,7471988345,2101,pharmacy, 
8776,7472011399,2101,pharmacy,Kess Pharmacy
8777,7472013753,2401,hotel,Ecstasy Hotel
8778,7472100393,2082,school,St. Francis of Assissi Catholic School
8779,7472405929,2101,pharmacy, 
8780,7472428299,2304,pub, 
8781,7487626230,2302,fast_food,The Hands of God
8782,7487643996,2564,car_wash,Boys to Men
8783,7488693985,2901,toilet, 
8784,7492049570,2544,furniture_shop,Hollywood Madina
8785,7495050567,2101,pharmacy,Just ask Pharmacy and Mart
8786,7496242318,2082,school,Western Hill School of Nursing
8787,7496247952,2101,pharmacy,Kklay
8788,7496259083,2304,pub,Akashia
8789,7507227932,2512,clothes,Woodin
8790,7507228335,2302,fast_food,The Shawarma Specialist
8791,7507559923,2518,beverages, 
8792,7507586926,2568,laundry,Pronto Laundry
8793,7514248539,2547,garden_centre,Asandel Garden Centre
8794,7514623108,2016,market_place,Makola Market
8795,7515857876,2304,pub,Queen of Flavors Pub
8796,7516013352,2101,pharmacy,Kent Pharmacy
8797,7516065752,2304,pub, 
8798,7526151278,2602,atm,UMB
8799,7526172658,2602,atm,Stanbic
8800,7526173959,2111,clinic,Medline
8801,7526185331,2602,atm,Access
8802,7529094463,2601,bank,Prudential
8803,7529109398,2564,car_wash, 
8804,7529123721,2082,school,Southgate
8805,7532263182,2525,mobile_phone_shop,Franko Trading
8806,7532272117,2121,dentist,King Solomon Dental Clinic
8807,7532279131,2546,computer_shop,Real Deals Limited
8808,7533512385,2529,beauty_shop,DerbyNarh’s Beauty Parlour
8809,7533512386,2512,clothes,DerbyNarh’s Closet
8810,7538573185,2561,hairdresser,Studio 54
8811,7540632334,2082,school,Jesus and Mary School
8812,7544766087,2505,department_store,GIFEC's warehouse
8813,7559165752,2082,school,Fadama Cluster of School
8814,7559467085,2082,school,Monarchy Int School
8815,7560852285,2511,convenience, 
8816,7566411309,2518,beverages,Drinks.com.gh
8817,7566424316,2101,pharmacy,Hale Pharmacy
8818,7566938768,2512,clothes,Abuya
8819,7572721308,2083,kindergarten,Crystal Cuddle Montessori
8820,7589952027,2301,restaurant,Home Made Food
8821,7600588293,2101,pharmacy,Star Med
8822,7600588294,2511,convenience,Total Mart
8823,7600872537,2404,guesthouse,Genesis Guest House
8824,7600890505,2304,pub,Stanas
8825,7600898556,2302,fast_food,Eddy's Pizza
8826,7605069051,2082,school,The Masters School
8827,7611809323,2564,car_wash, 
8828,7614571218,2101,pharmacy,Visat Pharmacy
8829,7614602453,2082,school,Happy Bloomers School
8830,7624234905,2512,clothes,Sky Bee Collection
8831,7625364314,2101,pharmacy,Aide Pharmacy
8832,7625365036,2401,hotel,Résidence ""U"" Hotel
8833,7628309914,2404,guesthouse,Idyllic Moments
8834,7629520511,2101,pharmacy,Open 24 Hours Pharmacy
8835,7629520512,2511,convenience,To God Be The Glory
8836,7629520514,2514,chemist,Univon Chemist
8837,7631858142,2529,beauty_shop,Beckap
8838,7631898515,2302,fast_food,Maame Roses Kitchen
8839,7631926090,2302,fast_food,Modas Inn Chop Bar
8840,7634510373,2111,clinic, 
8841,7634524008,2601,bank,Prudential Bank Haatso
8842,7634539648,2101,pharmacy,Akpabe Pharmacy Limited
8843,7634541772,2511,convenience,Bonjour Haatso
8844,7637922638,2564,car_wash,Platinum Steam Car Wash
8845,7637963327,2101,pharmacy,KFB Pharmacy
8846,7637972260,2514,chemist,Rebeacon Chemists
8847,7637984485,2544,furniture_shop,Royal Furnishers
8848,7640382185,2101,pharmacy,Linah Asante
8849,7644711532,2404,guesthouse,Asod Lodge
8850,7650192738,2082,school,Lady of Mercy Preparatory School
8851,7650200028,2568,laundry,Convenant Laundry Services
8852,7658301000,2561,hairdresser,Fresh Cutz
8853,7660315550,2001,police,Ojobi Police Station
8854,7666442914,2082,school,Emmanuel School
8855,7672974510,2082,school,Globen School
8856,7672998935,2304,pub,Just Believe
8857,7680295224,2101,pharmacy,Patrick Boakye Godmyeth Over the Counter MedicineSeller
8858,7693042673,2111,clinic,Penbrose Clinic
8859,7693055793,2101,pharmacy,Frimata Pharmacy
8860,7693073019,2401,hotel,Bremerland Paradise Hotel
8861,7693278437,2302,fast_food,Fried Yam
8862,7693278438,2601,bank,Mobile Money
8863,7695271196,2111,clinic, 
8864,7695274420,2001,police,Achimota New Station Police Station
8865,7695384255,2501,supermarket,Amigo's Mart
8866,7703303322,2302,fast_food,Gold Coast Kenkey
8867,7707854419,2503,kiosk,Euro Afriq Enterprise
8868,7717748414,2503,kiosk, 
8869,7717784846,2516,butcher, 
8870,7721911541,2561,hairdresser,Professional Hair Studio
8871,7721943283,2083,kindergarten,Happy Bloomers School
8872,7721944030,2511,convenience,Convenienz
8873,7721947294,2511,convenience,Shop Express
8874,7721956419,2503,kiosk,Ghana Rice
8875,7723458917,2601,bank,GCB Bank
8876,7726462117,2302,fast_food,Royal Masters Fast Food
8877,7727421530,2304,pub, 
8878,7727437261,2101,pharmacy,Baseline
8879,7727444139,2110,hospital, 
8880,7727925360,2304,pub,Legends Lounge
8881,7733390040,2521,gift_shop,Haus of Treasures
8882,7733664928,2082,school,Christ Royal International School
8883,7733667126,2401,hotel,Wassa Hotel
8884,7739032578,2302,fast_food,Healthy Porridge
8885,7740135935,2301,restaurant,Mango Ase Chop Bar
8886,7745053587,2514,chemist,Cee's Drug Store
8887,7745601775,2723,monument,Independence Arch
8888,7745601776,2724,memorial,Mausoleum of President John Evans Atta Mills
8889,7746242250,2082,school,Saint Joseph's Anglican Primary School
8890,7746281116,2082,school,Agbogba Anglican JHS
8891,7755863461,2082,school,Unique Child Academy
8892,7755870199,2083,kindergarten,Little VIP's Montessori Nursery
8893,7759144166,2514,chemist,Nana Boakye
8894,7761791188,2302,fast_food,Cheezzy Pizza
8895,7761808184,2302,fast_food,Petab Eden Pork Show
8896,7761832960,2516,butcher,J's Meat Shop
8897,7762408177,2515,bookshop,Faith Books & Stationery
8898,7765573285,2082,school,Master’s Senior High
8899,7765573286,2511,convenience, 
8900,7765573485,2546,computer_shop, 
8901,7767463843,2543,doityourself,London Entreprise
8902,7767669321,2111,clinic,Top Herbal Clinic
8903,7767832679,2511,convenience,FOB Supermarket
8904,7767871974,2301,restaurant,Jamila Home
8905,7770991982,2305,bar,West Inn
8906,7774301190,2101,pharmacy,New Discovery Pharmacy
8907,7775231759,2511,convenience, 
8909,7775251868,2082,school,Bortianor Methodist Basic School
8910,7775259726,2511,convenience, 
8912,7775283050,2511,convenience, 
8913,7775284579,2101,pharmacy,Veronica Sasah
8914,7775289597,2101,pharmacy,McCarthy Hill Pharmacy
8915,7775290904,2101,pharmacy,Claks Mosk Chemist
8916,7775291915,2601,bank,Prudential Bank
8917,7775291916,2514,chemist,Unicon Chemist Limited
8918,7775296839,2304,pub,Yellow  Yellow Pub Annex
